alert_id,account_id,alert_type,risk_level,description,metric_value,threshold_value,baseline_value,time_period,timestamp
VEL-000052,STR549186,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 34 transactions in one hour,34.0,5.0,5.171428571428572,hourly,2024-11-03 11:00:00
VEL-000053,STR549186,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 41 transactions in one hour,41.0,5.0,5.171428571428572,hourly,2024-11-03 12:00:00
VEL-000054,STR549186,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 21 transactions in one hour,21.0,5.0,5.171428571428572,hourly,2024-11-03 13:00:00
VEL-000055,STR416232,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 150 transactions (limit: 15),150.0,15.0,11.066666666666666,daily,2024-05-27 00:00:00
VEL-000056,STR416232,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 36 transactions in one hour,36.0,5.0,7.904761904761905,hourly,2024-05-27 19:00:00
VEL-000057,STR416232,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 38 transactions in one hour,38.0,5.0,7.904761904761905,hourly,2024-05-27 20:00:00
VEL-000058,STR416232,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 39 transactions in one hour,39.0,5.0,7.904761904761905,hourly,2024-05-27 21:00:00
VEL-000059,STR416232,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 36 transactions in one hour,36.0,5.0,7.904761904761905,hourly,2024-05-27 22:00:00
VEL-000060,STR206851,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 150 transactions (limit: 15),150.0,15.0,5.8125,daily,2024-09-21 00:00:00
VEL-000061,STR206851,HIGH_HOURLY_FREQUENCY,medium,High hourly transaction volume: 6 transactions in one hour,6.0,5.0,4.536585365853658,hourly,2024-09-21 05:00:00
VEL-000062,STR206851,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 42 transactions in one hour,42.0,5.0,4.536585365853658,hourly,2024-09-21 06:00:00
VEL-000063,STR206851,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 32 transactions in one hour,32.0,5.0,4.536585365853658,hourly,2024-09-21 07:00:00
VEL-000064,STR206851,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 46 transactions in one hour,46.0,5.0,4.536585365853658,hourly,2024-09-21 08:00:00
VEL-000065,STR206851,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 24 transactions in one hour,24.0,5.0,4.536585365853658,hourly,2024-09-21 09:00:00
VEL-000066,STR944657,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 150 transactions (limit: 15),150.0,15.0,6.392857142857143,daily,2024-02-04 00:00:00
VEL-000067,STR944657,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 20 transactions in one hour,20.0,5.0,5.264705882352941,hourly,2024-02-04 11:00:00
VEL-000068,STR944657,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 44 transactions in one hour,44.0,5.0,5.264705882352941,hourly,2024-02-04 12:00:00
VEL-000069,STR944657,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 36 transactions in one hour,36.0,5.0,5.264705882352941,hourly,2024-02-04 13:00:00
VEL-000070,STR944657,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 38 transactions in one hour,38.0,5.0,5.264705882352941,hourly,2024-02-04 14:00:00
VEL-000071,STR944657,HIGH_HOURLY_FREQUENCY,high,High hourly transaction volume: 12 transactions in one hour,12.0,5.0,5.264705882352941,hourly,2024-02-04 15:00:00
VEL-000072,STR991597,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 150 transactions (limit: 15),150.0,15.0,7.291666666666667,daily,2024-01-06 00:00:00
VEL-000073,STR991597,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 21 transactions in one hour,21.0,5.0,5.833333333333333,hourly,2024-01-06 09:00:00
VEL-000074,STR991597,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 52 transactions in one hour,52.0,5.0,5.833333333333333,hourly,2024-01-06 10:00:00
VEL-000075,STR991597,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 33 transactions in one hour,33.0,5.0,5.833333333333333,hourly,2024-01-06 11:00:00
VEL-000076,STR991597,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 32 transactions in one hour,32.0,5.0,5.833333333333333,hourly,2024-01-06 12:00:00
VEL-000077,STR991597,HIGH_HOURLY_FREQUENCY,high,High hourly transaction volume: 12 transactions in one hour,12.0,5.0,5.833333333333333,hourly,2024-01-06 13:00:00
VEL-000078,STR831059,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 150 transactions (limit: 15),150.0,15.0,6.133333333333334,daily,2024-01-21 00:00:00
VEL-000079,STR831059,HIGH_HOURLY_FREQUENCY,high,High hourly transaction volume: 12 transactions in one hour,12.0,5.0,4.842105263157895,hourly,2024-01-21 04:00:00
VEL-000080,STR831059,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 29 transactions in one hour,29.0,5.0,4.842105263157895,hourly,2024-01-21 05:00:00
VEL-000081,STR831059,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 43 transactions in one hour,43.0,5.0,4.842105263157895,hourly,2024-01-21 06:00:00
VEL-000082,STR831059,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 41 transactions in one hour,41.0,5.0,4.842105263157895,hourly,2024-01-21 07:00:00
VEL-000083,STR831059,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 25 transactions in one hour,25.0,5.0,4.842105263157895,hourly,2024-01-21 08:00:00
VEL-000084,STR817497,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 122 transactions (limit: 15),122.0,15.0,7.565217391304348,daily,2024-10-12 00:00:00
VEL-000085,STR817497,HIGH_DAILY_FREQUENCY,high,High daily transaction volume: 28 transactions (limit: 15),28.0,15.0,7.565217391304348,daily,2024-10-13 00:00:00
VEL-000086,STR817497,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 48 transactions in one hour,48.0,5.0,6.0,hourly,2024-10-12 21:00:00
VEL-000087,STR817497,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 38 transactions in one hour,38.0,5.0,6.0,hourly,2024-10-12 22:00:00
VEL-000088,STR817497,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 34 transactions in one hour,34.0,5.0,6.0,hourly,2024-10-12 23:00:00
VEL-000089,STR817497,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 28 transactions in one hour,28.0,5.0,6.0,hourly,2024-10-13 00:00:00
VEL-000090,STR658623,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 150 transactions (limit: 15),150.0,15.0,7.16,daily,2024-12-01 00:00:00
VEL-000091,STR658623,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 20 transactions in one hour,20.0,5.0,5.424242424242424,hourly,2024-12-01 10:00:00
VEL-000092,STR658623,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 36 transactions in one hour,36.0,5.0,5.424242424242424,hourly,2024-12-01 11:00:00
VEL-000093,STR658623,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 31 transactions in one hour,31.0,5.0,5.424242424242424,hourly,2024-12-01 12:00:00
VEL-000094,STR658623,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 46 transactions in one hour,46.0,5.0,5.424242424242424,hourly,2024-12-01 13:00:00
VEL-000095,STR658623,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 17 transactions in one hour,17.0,5.0,5.424242424242424,hourly,2024-12-01 14:00:00
VEL-000096,STR729577,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 150 transactions (limit: 15),150.0,15.0,5.216216216216216,daily,2024-02-05 00:00:00
VEL-000097,STR729577,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 40 transactions in one hour,40.0,5.0,4.1063829787234045,hourly,2024-02-05 20:00:00
VEL-000098,STR729577,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 46 transactions in one hour,46.0,5.0,4.1063829787234045,hourly,2024-02-05 21:00:00
VEL-000099,STR729577,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 33 transactions in one hour,33.0,5.0,4.1063829787234045,hourly,2024-02-05 22:00:00
VEL-000100,STR729577,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 30 transactions in one hour,30.0,5.0,4.1063829787234045,hourly,2024-02-05 23:00:00
VEL-000101,STR693423,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 150 transactions (limit: 15),150.0,15.0,7.863636363636363,daily,2024-10-19 00:00:00
VEL-000102,STR693423,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 30 transactions in one hour,30.0,5.0,6.178571428571429,hourly,2024-10-19 04:00:00
VEL-000103,STR693423,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 39 transactions in one hour,39.0,5.0,6.178571428571429,hourly,2024-10-19 05:00:00
VEL-000104,STR693423,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 43 transactions in one hour,43.0,5.0,6.178571428571429,hourly,2024-10-19 06:00:00
VEL-000105,STR693423,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 37 transactions in one hour,37.0,5.0,6.178571428571429,hourly,2024-10-19 07:00:00
VEL-000106,STR464069,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 150 transactions (limit: 15),150.0,15.0,7.954545454545454,daily,2024-07-18 00:00:00
VEL-000107,STR464069,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 48 transactions in one hour,48.0,5.0,6.0344827586206895,hourly,2024-07-18 12:00:00
VEL-000108,STR464069,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 30 transactions in one hour,30.0,5.0,6.0344827586206895,hourly,2024-07-18 13:00:00
VEL-000109,STR464069,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 38 transactions in one hour,38.0,5.0,6.0344827586206895,hourly,2024-07-18 14:00:00
VEL-000110,STR464069,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 33 transactions in one hour,33.0,5.0,6.0344827586206895,hourly,2024-07-18 15:00:00
VEL-000111,STR910004,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 150 transactions (limit: 15),150.0,15.0,6.241379310344827,daily,2024-03-24 00:00:00
VEL-000112,STR910004,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 22 transactions in one hour,22.0,5.0,5.027777777777778,hourly,2024-03-24 02:00:00
VEL-000113,STR910004,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 44 transactions in one hour,44.0,5.0,5.027777777777778,hourly,2024-03-24 03:00:00
VEL-000114,STR910004,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 35 transactions in one hour,35.0,5.0,5.027777777777778,hourly,2024-03-24 04:00:00
VEL-000115,STR910004,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 35 transactions in one hour,35.0,5.0,5.027777777777778,hourly,2024-03-24 05:00:00
VEL-000116,STR910004,HIGH_HOURLY_FREQUENCY,high,High hourly transaction volume: 14 transactions in one hour,14.0,5.0,5.027777777777778,hourly,2024-03-24 06:00:00
VEL-000117,NRM738720,ACTIVITY_SPIKE,high,Activity spike detected: 4.8x baseline (amount),96657.12,60542.125714285714,20180.70857142857,daily,2024-03-27 00:00:00
VEL-000118,NRM738720,ACTIVITY_SPIKE,critical,Activity spike detected: 16.5x baseline (amount),375405.68,68276.49545454545,22758.831818181818,daily,2024-04-22 00:00:00
VEL-000119,NRM738720,ACTIVITY_SPIKE,high,Activity spike detected: 5.3x baseline (amount),190666.7,108312.99833333332,36104.332777777774,daily,2024-06-18 00:00:00
VEL-000120,NRM324082,ACTIVITY_SPIKE,critical,Activity spike detected: 37.9x baseline (amount),366258.58999999997,28987.847142857143,9662.615714285714,daily,2024-04-01 00:00:00
VEL-000121,NRM324082,ACTIVITY_SPIKE,critical,Activity spike detected: 8.9x baseline (amount),336322.78,113042.18538461537,37680.728461538456,daily,2024-05-10 00:00:00
VEL-000122,NRM324082,ACTIVITY_SPIKE,high,Activity spike detected: 5.9x baseline (amount),190310.55,96176.08555555556,32058.695185185185,daily,2024-09-30 00:00:00
VEL-000123,NRM324082,ACTIVITY_SPIKE,high,Activity spike detected: 5.1x baseline (amount),185663.01,109281.07655172414,36427.02551724138,daily,2024-10-21 00:00:00
VEL-000124,MUL152727,ACTIVITY_SPIKE,medium,Activity spike detected: 3.3x baseline (amount),44431.34,40027.042499999996,13342.347499999998,daily,2024-04-20 00:00:00
VEL-000125,MUL152727,ACTIVITY_SPIKE,critical,Activity spike detected: 6.3x baseline (amount),98504.93,47201.42538461538,15733.80846153846,daily,2024-04-22 00:00:00
VEL-000126,MUL152727,ACTIVITY_SPIKE,critical,Activity spike detected: 16.6x baseline (amount),358617.28,64938.094285714265,21646.031428571423,daily,2024-05-01 00:00:00
VEL-000127,MUL152727,ACTIVITY_SPIKE,critical,Activity spike detected: 6.6x baseline (amount),195305.95,88220.87035714285,29406.956785714283,daily,2024-09-11 00:00:00
VEL-000128,MUL152727,ACTIVITY_SPIKE,high,Activity spike detected: 5.4x baseline (amount),191399.83,105382.83517241379,35127.61172413793,daily,2024-09-12 00:00:00
VEL-000129,MUL152727,ACTIVITY_SPIKE,critical,Activity spike detected: 7.8x baseline (amount),314676.13,121628.13199999998,40542.71066666666,daily,2024-12-06 00:00:00
VEL-000130,NRM595948,ACTIVITY_SPIKE,medium,Activity spike detected: 3.3x baseline (amount),19033.06,17236.02,5745.34,daily,2024-05-27 00:00:00
VEL-000131,NRM595948,ACTIVITY_SPIKE,critical,Activity spike detected: 65.8x baseline (amount),378756.17000000004,17267.15142857143,5755.717142857143,daily,2024-10-02 00:00:00
VEL-000132,NRM595948,ACTIVITY_SPIKE,critical,Activity spike detected: 8.6x baseline (amount),154074.37,53682.255517241385,17894.085172413794,daily,2024-11-23 00:00:00
VEL-000133,NRM595948,ACTIVITY_SPIKE,critical,Activity spike detected: 8.0x baseline (amount),178973.32,67437.35800000001,22479.119333333336,daily,2024-12-08 00:00:00
VEL-000134,NRM377746,ACTIVITY_SPIKE,critical,Activity spike detected: 6.8x baseline (amount),182505.19,80778.12857142856,26926.042857142857,daily,2024-06-06 00:00:00
VEL-000135,NRM377746,ACTIVITY_SPIKE,critical,Activity spike detected: 7.2x baseline (amount),217854.99,91258.21421052632,30419.40473684211,daily,2024-07-19 00:00:00
VEL-000136,NRM623481,ACTIVITY_SPIKE,critical,Activity spike detected: 42.0x baseline (amount),295710.51,21131.90294117647,7043.967647058824,daily,2024-06-13 00:00:00
VEL-000137,NRM623481,ACTIVITY_SPIKE,critical,Activity spike detected: 10.5x baseline (amount),160751.17,46067.60500000001,15355.868333333336,daily,2024-11-01 00:00:00
VEL-000138,NRM159942,ACTIVITY_SPIKE,high,Activity spike detected: 5.0x baseline (amount),75504.07,45403.287,15134.429,daily,2024-03-10 00:00:00
VEL-000139,NRM159942,ACTIVITY_SPIKE,critical,Activity spike detected: 18.2x baseline (amount),308172.8,50711.32071428572,16903.773571428574,daily,2024-04-06 00:00:00
VEL-000140,NRM159942,ACTIVITY_SPIKE,high,Activity spike detected: 5.4x baseline (amount),185806.85,102985.48125000001,34328.49375,daily,2024-04-22 00:00:00
VEL-000141,NRM159942,ACTIVITY_SPIKE,medium,Activity spike detected: 3.4x baseline (amount),147560.66999999998,129716.95588235295,43238.98529411765,daily,2024-05-06 00:00:00
VEL-000142,NRM159942,ACTIVITY_SPIKE,high,Activity spike detected: 4.9x baseline (amount),123581.15,75707.507,25235.835666666666,daily,2024-10-02 00:00:00
VEL-000143,NRM159942,ACTIVITY_SPIKE,critical,Activity spike detected: 15.6x baseline (amount),140433.64,27042.745,9014.248333333333,daily,2024-11-21 00:00:00
VEL-000144,NRM422451,ACTIVITY_SPIKE,critical,Activity spike detected: 21.7x baseline (amount),322588.17000000004,44612.40947368421,14870.803157894738,daily,2024-06-24 00:00:00
VEL-000145,NRM422451,ACTIVITY_SPIKE,critical,Activity spike detected: 7.2x baseline (amount),146091.31,60678.69800000001,20226.23266666667,daily,2024-12-24 00:00:00
VEL-000146,HRK609232,ACTIVITY_SPIKE,high,Activity spike detected: 5.5x baseline (amount),17881.57,9790.330000000002,3263.4433333333336,daily,2024-05-21 00:00:00
VEL-000147,HRK609232,ACTIVITY_SPIKE,medium,Activity spike detected: 4.1x baseline (amount),17139.71,12531.22875,4177.07625,daily,2024-05-22 00:00:00
VEL-000148,HRK609232,ACTIVITY_SPIKE,critical,Activity spike detected: 35.8x baseline (amount),158685.19,13285.401818181817,4428.467272727273,daily,2024-06-06 00:00:00
VEL-000149,NRM496922,ACTIVITY_SPIKE,critical,Activity spike detected: 17.7x baseline (amount),235320.75,39941.48769230769,13313.82923076923,daily,2024-05-13 00:00:00
VEL-000150,NRM496922,ACTIVITY_SPIKE,medium,Activity spike detected: 3.3x baseline (amount),87201.73,79207.52368421052,26402.507894736842,daily,2024-06-26 00:00:00
VEL-000151,NRM496922,ACTIVITY_SPIKE,critical,Activity spike detected: 6.8x baseline (amount),174587.79,76859.34,25619.78,daily,2024-07-20 00:00:00
VEL-000152,NRM496922,ACTIVITY_SPIKE,critical,Activity spike detected: 7.4x baseline (amount),185190.97,75166.65499999998,25055.551666666663,daily,2024-11-13 00:00:00
VEL-000153,MUL975467,ACTIVITY_SPIKE,critical,Activity spike detected: 9.7x baseline (amount),136180.01,42262.8216,14087.6072,daily,2024-07-27 00:00:00
VEL-000154,MUL975467,ACTIVITY_SPIKE,medium,Activity spike detected: 4.3x baseline (amount),79291.28,55327.24607142857,18442.415357142858,daily,2024-08-06 00:00:00
VEL-000155,MUL975467,ACTIVITY_SPIKE,critical,Activity spike detected: 8.1x baseline (amount),165417.98,61621.95620689656,20540.65206896552,daily,2024-08-11 00:00:00
VEL-000156,MUL975467,ACTIVITY_SPIKE,critical,Activity spike detected: 6.3x baseline (amount),138897.04,65649.585,21883.195000000003,daily,2024-09-28 00:00:00
VEL-000157,MUL975467,ACTIVITY_SPIKE,critical,Activity spike detected: 7.3x baseline (amount),191311.79,78796.94,26265.646666666667,daily,2024-10-15 00:00:00
VEL-000158,MUL975467,ACTIVITY_SPIKE,medium,Activity spike detected: 3.0x baseline (amount),98705.18,98018.318,32672.772666666668,daily,2024-10-31 00:00:00
VEL-000159,MUL975467,ACTIVITY_SPIKE,medium,Activity spike detected: 3.1x baseline (amount),108123.72,104693.513,34897.837666666666,daily,2024-11-17 00:00:00
VEL-000160,MUL975467,ACTIVITY_SPIKE,high,Activity spike detected: 4.8x baseline (amount),182825.32,114991.669,38330.556333333334,daily,2024-11-28 00:00:00
