account_id,overall_score,risk_category,alert_score,volume_score,velocity_score,network_score,behavioral_score,alert_count,total_amount,contributing_factors
RNG824036,76.12,critical,100.0,88.4,41.71,79.31,31.99,75,9227158.68,RAPID_DEPOSITS (critical); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (critical); ACTIVITY_SPIKE (medium); HIGH_DAILY_AMOUNT (medium); ACTIVITY_SPIKE (high); ISOLATION_FOREST (medium)
RNG824032,76.01,critical,100.0,89.6,42.89,77.06,29.58,79,9322521.92,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium)
STR910004,75.96,critical,100.0,73.2,43.81,84.23,49.23,119,2496623.85,HIGH_HOURLY_FREQUENCY (critical); MANY_TO_ONE (critical); ROUND_AMOUNTS (high); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (high); HIGH_DAILY_AMOUNT (critical); UNDER_THRESHOLD_DEPOSITS (critical); HIGH_HOURLY_FREQUENCY (high); HIGH_DAILY_AMOUNT (high); LOCAL_OUTLIER_FACTOR (low); HIGH_DAILY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (high)
RNG824039,75.87,critical,100.0,100.0,29.03,77.14,34.96,95,11575482.41,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); HIGH_DAILY_AMOUNT (medium); ACTIVITY_SPIKE (high); ISOLATION_FOREST (medium)
STR757711,75.83,critical,100.0,71.6,43.27,84.51,51.84,131,2419574.03,HIGH_HOURLY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (medium); MANY_TO_ONE (critical); ROUND_AMOUNTS (high); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); UNDER_THRESHOLD_DEPOSITS (critical); HIGH_HOURLY_FREQUENCY (high); HIGH_DAILY_AMOUNT (high); LOCAL_OUTLIER_FACTOR (low); ISOLATION_FOREST (critical); HIGH_DAILY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (high)
RNG824009,75.67,critical,100.0,90.0,38.81,79.6,29.7,75,9379731.37,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (medium)
RNG824026,75.63,critical,100.0,100.0,26.65,79.78,33.31,87,10587817.24,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ACTIVITY_SPIKE (high); ISOLATION_FOREST (medium)
STR464069,75.63,critical,100.0,71.2,43.18,84.32,51.09,130,2344926.96,HIGH_HOURLY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (medium); MANY_TO_ONE (critical); ROUND_AMOUNTS (high); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (medium); HIGH_DAILY_AMOUNT (critical); UNDER_THRESHOLD_DEPOSITS (critical); HIGH_DAILY_AMOUNT (high); LOCAL_OUTLIER_FACTOR (low); ISOLATION_FOREST (critical); HIGH_DAILY_FREQUENCY (critical)
RNG824030,75.53,critical,100.0,82.4,46.18,78.0,31.16,70,8240500.95,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (medium)
RNG824031,75.49,critical,100.0,100.0,28.16,77.8,31.88,82,10627756.14,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (critical); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ACTIVITY_SPIKE (high); ISOLATION_FOREST (medium)
RNG824023,75.4,critical,100.0,90.4,38.09,79.29,28.13,77,9416693.67,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium)
RNG824048,75.26,critical,100.0,85.6,39.61,80.56,31.34,67,8607038.48,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ACTIVITY_SPIKE (high); ISOLATION_FOREST (medium)
RNG824015,75.19,critical,100.0,86.4,41.01,77.17,31.34,69,8761317.58,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ACTIVITY_SPIKE (high)
STR226935,75.09,critical,100.0,67.6,43.89,83.99,51.88,133,2194184.8,HIGH_HOURLY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (medium); MANY_TO_ONE (critical); ROUND_AMOUNTS (high); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (medium); HIGH_DAILY_AMOUNT (critical); UNDER_THRESHOLD_DEPOSITS (critical); HIGH_DAILY_AMOUNT (high); LOCAL_OUTLIER_FACTOR (low); ISOLATION_FOREST (critical); HIGH_DAILY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (high)
RNG824005,75.07,critical,100.0,81.2,45.03,80.0,28.24,63,7726912.62,STATISTICAL_OUTLIER (high); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ACTIVITY_SPIKE (high)
RNG824029,75.03,critical,100.0,80.4,46.42,78.68,28.62,61,7302814.37,STATISTICAL_OUTLIER (high); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ACTIVITY_SPIKE (high)
STR793655,75.02,critical,100.0,66.8,43.05,84.61,53.63,133,2182142.89,HIGH_HOURLY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (medium); MANY_TO_ONE (critical); ROUND_AMOUNTS (high); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (medium); HIGH_DAILY_AMOUNT (critical); UNDER_THRESHOLD_DEPOSITS (critical); HIGH_HOURLY_FREQUENCY (high); HIGH_DAILY_AMOUNT (high); LOCAL_OUTLIER_FACTOR (low); ISOLATION_FOREST (critical); HIGH_DAILY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (high)
RNG824041,74.88,high,100.0,80.8,45.54,78.86,27.82,61,7540955.08,STATISTICAL_OUTLIER (medium); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (medium)
STR549186,74.84,high,100.0,66.4,43.66,84.42,51.7,131,2180478.58,HIGH_HOURLY_FREQUENCY (critical); HIGH_HOURLY_FREQUENCY (medium); MANY_TO_ONE (critical); ROUND_AMOUNTS (high); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (medium); HIGH_DAILY_AMOUNT (critical); UNDER_THRESHOLD_DEPOSITS (critical); HIGH_DAILY_AMOUNT (high); LOCAL_OUTLIER_FACTOR (low); ISOLATION_FOREST (critical); HIGH_DAILY_FREQUENCY (critical)
STR416232,74.84,high,100.0,65.6,42.76,84.48,55.0,122,2139059.66,HIGH_HOURLY_FREQUENCY (critical); MANY_TO_ONE (critical); ROUND_AMOUNTS (high); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (medium); HIGH_DAILY_AMOUNT (critical); UNDER_THRESHOLD_DEPOSITS (critical); LOCAL_OUTLIER_FACTOR (low); ISOLATION_FOREST (critical); HIGH_DAILY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (high)
RNG824040,74.71,high,100.0,82.0,42.33,79.0,30.0,70,7890844.36,STATISTICAL_OUTLIER (medium); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (medium)
RNG824044,74.64,high,100.0,91.6,30.83,81.05,29.99,83,9693478.29,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium)
RNG824008,74.49,high,100.0,100.0,23.08,77.5,32.52,83,10649357.96,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (medium)
RNG824027,74.45,high,100.0,100.0,20.86,80.0,32.79,88,11124212.44,MULE_PATTERN (medium); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (medium)
RNG824016,74.41,high,100.0,88.8,33.2,80.0,30.1,74,9231351.15,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium)
RNG824012,74.37,high,100.0,86.8,35.73,79.6,29.23,77,8859507.06,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ACTIVITY_SPIKE (high)
RNG824047,74.22,high,100.0,85.2,38.88,76.0,30.05,69,8520858.32,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ACTIVITY_SPIKE (high)
RNG824010,74.13,high,100.0,83.6,38.28,77.94,30.66,70,8330935.32,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (medium)
RNG824018,73.9,high,100.0,93.6,27.02,77.5,31.54,90,10106817.54,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (medium)
RNG824017,73.76,high,100.0,90.8,23.57,80.83,37.66,81,9438452.24,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (medium)
STR944657,73.68,high,100.0,61.2,43.9,84.23,50.25,133,2078457.49,HIGH_HOURLY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (medium); MANY_TO_ONE (critical); ROUND_AMOUNTS (high); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (medium); HIGH_DAILY_AMOUNT (critical); UNDER_THRESHOLD_DEPOSITS (critical); HIGH_HOURLY_FREQUENCY (high); HIGH_DAILY_AMOUNT (high); LOCAL_OUTLIER_FACTOR (low); ISOLATION_FOREST (critical); HIGH_DAILY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (high)
RNG824007,73.5,high,100.0,100.0,18.89,73.57,36.88,89,11732321.9,STATISTICAL_OUTLIER (critical); ISOLATION_FOREST (high); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium)
RNG824045,73.4,high,100.0,91.2,26.8,78.75,29.86,79,9489533.07,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium)
STR934904,73.0,high,100.0,56.2,43.3,84.21,54.68,127,1952644.5,HIGH_HOURLY_FREQUENCY (critical); MANY_TO_ONE (critical); ROUND_AMOUNTS (high); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (medium); HIGH_DAILY_AMOUNT (critical); UNDER_THRESHOLD_DEPOSITS (critical); HIGH_DAILY_AMOUNT (high); LOCAL_OUTLIER_FACTOR (low); ISOLATION_FOREST (critical); HIGH_DAILY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (high)
RNG824037,72.93,high,100.0,87.2,26.69,81.09,29.88,75,8989301.58,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium)
RNG824003,72.84,high,100.0,82.8,34.3,77.11,28.52,79,8268272.79,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium)
RNG824020,72.5,high,100.0,92.4,25.94,70.5,32.62,81,9810432.91,MULE_PATTERN (medium); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (medium)
RNG824021,72.49,high,100.0,87.6,27.57,77.06,28.98,78,9133246.91,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium)
RNG824011,72.25,high,100.0,84.8,26.62,81.25,27.81,74,8435037.0,STATISTICAL_OUTLIER (medium); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); HIGH_DAILY_AMOUNT (medium)
RNG824024,71.96,high,100.0,92.0,18.62,78.18,31.08,81,9710221.5,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium)
STR991597,71.86,high,100.0,51.0,43.32,84.31,53.49,124,1830576.98,HIGH_HOURLY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (medium); MANY_TO_ONE (critical); ROUND_AMOUNTS (high); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (medium); HIGH_DAILY_AMOUNT (critical); UNDER_THRESHOLD_DEPOSITS (critical); HIGH_HOURLY_FREQUENCY (high); HIGH_DAILY_AMOUNT (high); LOCAL_OUTLIER_FACTOR (low); ISOLATION_FOREST (critical); HIGH_DAILY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (high)
RNG824046,71.77,high,100.0,86.0,22.65,80.91,29.07,71,8643379.51,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium)
STR693423,71.56,high,100.0,49.2,43.16,84.4,54.3,120,1801825.1,HIGH_HOURLY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (medium); MANY_TO_ONE (critical); ROUND_AMOUNTS (high); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); UNDER_THRESHOLD_DEPOSITS (critical); LOCAL_OUTLIER_FACTOR (low); ISOLATION_FOREST (critical); HIGH_DAILY_FREQUENCY (critical)
RNG824004,71.47,high,100.0,80.0,25.02,82.5,30.91,68,7222793.43,STATISTICAL_OUTLIER (high); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (medium)
RNG824042,71.3,high,100.0,81.6,25.7,79.11,29.73,64,7779293.78,STATISTICAL_OUTLIER (high); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); HIGH_DAILY_AMOUNT (medium); ACTIVITY_SPIKE (high); ISOLATION_FOREST (medium)
RNG824014,70.79,high,100.0,84.0,25.32,72.0,31.27,71,8347777.77,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium)
RNG824025,70.57,high,100.0,93.2,11.96,78.18,28.11,81,9929924.4,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium)
RNG824028,70.44,high,100.0,84.4,17.98,76.56,34.79,68,8379402.22,STATISTICAL_OUTLIER (critical); ISOLATION_FOREST (high); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); HIGH_DAILY_AMOUNT (medium)
RNG824013,69.31,high,100.0,89.2,9.12,77.5,30.16,76,9244890.51,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium)
RNG824043,68.29,high,100.0,83.2,7.03,78.57,34.54,71,8308296.87,STATISTICAL_OUTLIER (critical); ISOLATION_FOREST (high); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium)
