account_id,customer_type,customer_age,account_age_days,risk_category,region,business_type,avg_monthly_transactions,avg_transaction_amount
NRM948749,normal,24,1899,low,North America,Retail,24,4708.563995999059
NRM106814,normal,61,2028,low,Europe,Restaurant,15,1771.2251201462666
NRM895667,normal,46,2334,low,Middle East,Restaurant,7,1219.8951068067684
NRM944962,normal,37,2758,low,Africa,Individual,21,1285.0762254122133
NRM267414,normal,69,2666,low,Latin America,Consulting,27,1761.2459761386333
NRM832052,normal,56,2047,low,Asia Pacific,Restaurant,28,2082.0898228987317
NRM543143,normal,54,992,low,North America,Individual,10,3378.0424480997203
NRM456778,normal,56,3548,low,North America,Retail,22,887.9594519457434
NRM391369,normal,39,3234,low,Europe,Consulting,8,3589.6781846029257
NRM263032,normal,54,762,low,North America,Retail,12,4261.194711421472
NRM325772,normal,38,1004,low,Europe,Individual,23,3218.0298291108875
NRM900581,normal,43,3162,low,Europe,Consulting,23,4471.028120367855
NRM452944,normal,48,2439,low,Asia Pacific,Individual,19,2513.336699712433
NRM207175,normal,26,3432,low,Asia Pacific,Individual,7,3865.914670100914
NRM197251,normal,38,3608,low,Middle East,Consulting,25,4429.120709104669
NRM498382,normal,62,1425,low,Middle East,Individual,25,2904.2330989371076
NRM201414,normal,54,1504,low,North America,Individual,27,1415.5267987617685
NRM476417,normal,24,492,low,Europe,Individual,26,3510.5460037073676
NRM988662,normal,61,3098,low,North America,Retail,26,1857.369228351203
NRM460663,normal,48,2902,low,Latin America,Retail,5,769.4445240659412
NRM733052,normal,69,3475,low,North America,Restaurant,7,1355.4140236128444
NRM377370,normal,45,889,low,North America,Individual,8,4011.646376937198
NRM946335,normal,22,2924,low,Europe,Individual,23,1756.1762685725255
NRM145561,normal,49,1198,low,Europe,Retail,23,2381.4302888490547
NRM865179,normal,43,2726,low,Latin America,Individual,14,4130.742747232325
NRM581741,normal,64,2856,low,North America,Restaurant,16,4829.733968914772
NRM662275,normal,60,1584,low,Latin America,Individual,19,3527.60983275925
NRM230889,normal,61,3068,low,Africa,Individual,23,3996.412354366648
NRM496922,normal,40,1446,low,North America,Individual,25,496.2775364242686
NRM182627,normal,30,2296,low,Europe,Individual,5,2267.525925682412
NRM678856,normal,53,1506,low,Asia Pacific,Retail,25,3227.525909832417
NRM407419,normal,60,1068,low,Europe,Retail,27,333.8090256890791
NRM969693,normal,47,2044,low,North America,Individual,18,549.8154224858652
NRM759176,normal,68,1373,low,North America,Consulting,9,2423.4517625278936
NRM748564,normal,47,2886,low,Europe,Individual,5,2376.901683404096
NRM479201,normal,58,2435,low,North America,Consulting,8,321.98964788301816
NRM705397,normal,52,3174,low,Middle East,Individual,28,3327.5987949328305
NRM301629,normal,25,3452,low,North America,Retail,21,4349.2747744195185
NRM838797,normal,53,1216,low,Europe,Individual,5,2345.4391634084313
NRM172933,normal,72,2001,low,Asia Pacific,Restaurant,12,4536.218145584712
NRM148050,normal,65,649,low,North America,Individual,6,290.91934832014476
NRM793384,normal,71,2447,low,North America,Retail,14,214.03248510554675
NRM338968,normal,55,479,low,North America,Individual,25,1806.8493618206671
NRM910620,normal,32,777,low,North America,Individual,29,2785.062227915628
NRM403445,normal,58,2869,low,Europe,Individual,7,2121.8266168659898
NRM183667,normal,39,1373,low,Asia Pacific,Individual,9,1269.124612972667
NRM996865,normal,34,2691,low,Asia Pacific,Individual,21,2718.204620299761
NRM344098,normal,41,2268,low,Europe,Individual,23,2007.0882257973992
NRM205907,normal,33,2857,low,Middle East,Individual,11,4788.324337119636
NRM498591,normal,52,1215,low,Europe,Individual,9,1536.732781320516
NRM391476,normal,46,3360,low,Asia Pacific,Retail,27,3928.3506473088923
NRM575435,normal,60,2521,low,Middle East,Consulting,18,2792.691523386304
NRM766563,normal,26,3599,low,Latin America,Individual,22,4846.394525473261
NRM974628,normal,30,3510,low,Latin America,Restaurant,10,512.1233499634875
NRM482554,normal,34,1556,low,North America,Restaurant,6,498.60902514530886
NRM270555,normal,58,1810,low,Africa,Individual,5,4413.763846328242
NRM488162,normal,38,875,low,Middle East,Individual,8,1943.6719691014873
NRM472528,normal,52,2175,low,Asia Pacific,Individual,14,4541.136486964207
NRM319684,normal,60,3562,low,Europe,Individual,24,682.2077897135524
NRM802729,normal,62,2323,low,Asia Pacific,Individual,29,1936.86583966615
NRM379946,normal,70,1188,low,Europe,Individual,16,4891.713276895927
NRM835911,normal,66,2217,low,North America,Individual,25,4965.527500984572
NRM816751,normal,58,2064,low,Europe,Consulting,22,914.4556163553393
NRM779514,normal,70,1914,low,North America,Consulting,26,2963.140128423191
NRM174870,normal,37,835,low,North America,Individual,20,4462.29254106549
NRM738720,normal,33,1032,low,North America,Individual,8,2372.1221842059126
NRM765822,normal,71,904,low,North America,Consulting,26,258.3481604372873
NRM279451,normal,30,1293,low,Europe,Retail,20,896.8230027899674
NRM660086,normal,67,754,low,Middle East,Retail,19,4603.965103994242
NRM864544,normal,31,3236,low,Latin America,Individual,9,229.19817503653482
NRM356702,normal,54,738,low,Latin America,Consulting,21,1946.0209526959097
NRM271339,normal,47,427,low,Europe,Restaurant,21,4207.810653084575
NRM584714,normal,55,2517,low,Europe,Individual,20,469.25939572706534
NRM497887,normal,49,2365,low,Europe,Retail,7,2821.6153574528744
NRM383060,normal,58,3089,low,Asia Pacific,Individual,25,2307.6662630194583
NRM771088,normal,67,2413,low,Africa,Retail,5,3391.333353588698
NRM821590,normal,53,2446,low,Europe,Individual,6,2433.4324142661694
NRM684004,normal,24,632,low,Latin America,Consulting,29,2990.7838959744167
NRM330283,normal,68,3331,low,Asia Pacific,Retail,6,4044.718870844873
NRM817870,normal,60,1128,low,Africa,Retail,22,2021.9958209886884
NRM440035,normal,48,2847,low,Middle East,Individual,10,2309.4611923389116
NRM983794,normal,36,1384,low,North America,Individual,21,4752.651055922446
NRM905635,normal,25,502,low,Middle East,Individual,24,2349.7652055674803
NRM913694,normal,55,2465,low,North America,Individual,15,1276.713532013146
NRM158655,normal,72,2523,low,North America,Individual,15,780.2531459821097
NRM340174,normal,29,1264,low,North America,Individual,7,4384.156263786644
NRM961722,normal,48,457,low,Africa,Retail,23,300.2562197057464
NRM133659,normal,26,1854,low,North America,Individual,25,2788.705015116302
NRM944151,normal,26,2645,low,Europe,Restaurant,21,2566.744627188799
NRM430776,normal,66,3509,low,North America,Individual,26,500.61925654947237
NRM520651,normal,51,471,low,Middle East,Individual,8,4050.3862709860005
NRM380746,normal,70,2255,low,North America,Individual,28,2474.1626274360046
NRM169403,normal,47,392,low,Europe,Individual,17,405.4726763050831
NRM321231,normal,72,1395,low,Asia Pacific,Restaurant,15,2707.356077800047
NRM694731,normal,66,3218,low,Europe,Individual,29,3713.285509859714
NRM852787,normal,49,1078,low,Europe,Restaurant,26,1704.7370256717818
NRM429963,normal,65,901,low,Latin America,Individual,8,1840.0110860685934
NRM322955,normal,62,2521,low,Europe,Individual,26,2975.5214783023075
NRM787277,normal,29,3160,low,North America,Individual,10,4508.272246010561
NRM623481,normal,55,2340,low,Europe,Individual,29,1262.411279506373
NRM514850,normal,43,2689,low,North America,Individual,8,4269.005837397117
NRM774079,normal,51,1995,low,North America,Restaurant,7,2670.1058088942477
NRM581141,normal,61,593,low,Africa,Individual,6,2922.392247247734
NRM249811,normal,32,368,low,North America,Consulting,28,3642.1908734467006
NRM377746,normal,23,1211,low,Europe,Individual,17,3870.515372640491
NRM246413,normal,27,1798,low,North America,Individual,5,3707.611200122592
NRM358607,normal,33,923,low,Asia Pacific,Retail,10,2948.0672849708003
NRM881177,normal,32,3257,low,Europe,Individual,22,2325.9130638735883
NRM688637,normal,26,2307,low,Europe,Individual,12,4068.3847846877106
NRM665158,normal,22,1707,low,Asia Pacific,Retail,15,2418.514385154272
NRM375504,normal,59,2403,low,Asia Pacific,Individual,9,4170.035098159873
NRM883300,normal,65,2334,low,North America,Retail,13,1104.5088692608624
NRM712982,normal,56,1935,low,Middle East,Retail,12,4156.910347169711
NRM549245,normal,58,2682,low,Asia Pacific,Restaurant,9,4091.4161291337723
NRM711878,normal,35,2986,low,Europe,Restaurant,29,3446.612110743949
NRM518801,normal,29,1683,low,Asia Pacific,Restaurant,10,2744.927203381702
NRM479580,normal,36,1357,low,North America,Restaurant,27,2706.1016504720524
NRM329974,normal,74,2516,low,Asia Pacific,Individual,10,1730.797350971173
NRM245051,normal,72,2966,low,North America,Retail,5,2713.9593506839756
NRM634277,normal,60,1287,low,Asia Pacific,Individual,5,3564.2042600929494
NRM617488,normal,48,1315,low,North America,Individual,6,3836.047560129384
NRM195325,normal,31,3277,low,North America,Individual,19,4247.616229499139
NRM892495,normal,45,3360,low,Europe,Retail,9,2483.1516617784782
NRM149405,normal,25,3256,low,Asia Pacific,Individual,23,3500.34737788879
NRM214975,normal,57,1158,low,North America,Individual,15,4799.466493363736
NRM260265,normal,61,2962,low,North America,Individual,18,3113.2562894480066
NRM757924,normal,47,2553,low,North America,Individual,5,188.73990072211848
NRM267753,normal,64,3416,low,Europe,Retail,28,212.8107634594238
NRM930555,normal,63,3421,low,Europe,Retail,26,478.87322089505756
NRM813536,normal,35,3191,low,Europe,Individual,25,911.0505007997199
NRM542666,normal,57,1570,low,Latin America,Individual,26,2642.306479917753
NRM725380,normal,61,2299,low,Europe,Individual,13,1107.3410610406236
NRM166613,normal,74,1301,low,North America,Individual,15,4622.505135812576
NRM503457,normal,28,3646,low,Europe,Consulting,15,260.9486841928479
NRM500156,normal,72,1570,low,North America,Individual,10,266.00788520831543
NRM724834,normal,54,2589,low,Asia Pacific,Individual,22,3351.333122881882
NRM590785,normal,28,1213,low,Africa,Individual,26,4317.096887664597
NRM654816,normal,61,2973,low,North America,Individual,27,2191.265636150072
NRM363626,normal,40,2444,low,Europe,Retail,20,2867.7215529868204
NRM680099,normal,39,1133,low,Asia Pacific,Individual,6,2718.8338671605097
NRM112038,normal,70,2526,low,Europe,Retail,8,991.4478394268285
NRM813328,normal,50,419,low,Middle East,Individual,14,4497.409008112532
NRM855731,normal,55,2499,low,Africa,Restaurant,11,3328.7273153597416
NRM220116,normal,22,677,low,North America,Individual,12,610.1320517244119
NRM814825,normal,68,2991,low,Latin America,Individual,12,587.2628245207914
NRM663054,normal,53,1476,low,Asia Pacific,Restaurant,15,4816.981660918886
NRM887352,normal,73,529,low,North America,Individual,27,4492.045510753487
NRM379786,normal,28,694,low,North America,Individual,23,701.6067593472717
NRM905934,normal,40,1936,low,Asia Pacific,Retail,5,4105.47345251836
NRM772097,normal,41,1110,low,Latin America,Individual,27,1413.5118400320937
NRM456699,normal,26,1169,low,Europe,Individual,6,4319.233297876136
NRM216970,normal,56,1888,low,Africa,Retail,21,4355.493081899773
NRM407757,normal,67,492,low,North America,Individual,21,1416.519060986236
NRM555884,normal,61,601,low,Europe,Individual,26,4191.158160316565
NRM265840,normal,25,3078,low,Europe,Individual,27,3447.6008965828587
NRM575763,normal,27,3582,low,Europe,Restaurant,13,1442.8705813673093
NRM103402,normal,38,2065,low,Asia Pacific,Restaurant,27,622.2357776305043
NRM857168,normal,43,2439,low,Middle East,Restaurant,12,1328.580236751829
NRM854639,normal,66,2405,low,Europe,Individual,21,2151.9755719711584
NRM376183,normal,49,1066,low,Europe,Individual,26,3716.364720489215
NRM624902,normal,72,1057,low,Asia Pacific,Individual,25,4201.687054444844
NRM898975,normal,32,3088,low,Asia Pacific,Individual,7,4751.603305583052
NRM287330,normal,68,3076,low,Middle East,Retail,5,1422.564989721755
NRM632342,normal,68,3584,low,North America,Restaurant,21,2532.1946112860583
NRM211579,normal,66,2391,low,North America,Retail,25,1787.4802870167427
NRM755674,normal,61,1405,low,Europe,Retail,12,2230.6539591583564
NRM412942,normal,60,495,low,North America,Individual,23,1433.5111724268172
NRM982554,normal,55,2936,low,Europe,Individual,21,770.4112915029109
NRM769987,normal,31,1885,low,North America,Individual,28,3816.122828333839
NRM632323,normal,52,3073,low,Asia Pacific,Retail,20,4261.058692670064
NRM738551,normal,46,2878,low,Europe,Individual,13,4725.890764464405
NRM308573,normal,68,1142,low,Europe,Consulting,25,2418.729578598534
NRM260263,normal,28,699,low,Asia Pacific,Individual,20,664.8819041116934
NRM492077,normal,44,1865,low,Europe,Restaurant,11,2330.2040566771648
NRM899550,normal,63,979,low,North America,Individual,7,2847.318250617219
NRM269396,normal,66,1486,low,Latin America,Individual,27,2081.9787034410683
NRM665579,normal,60,2909,low,Europe,Retail,17,3166.8677445413446
NRM916449,normal,37,857,low,Asia Pacific,Individual,27,2363.5199678203794
NRM656116,normal,55,2826,low,North America,Individual,22,4701.431722713191
NRM100599,normal,56,2279,low,Africa,Individual,21,2069.4614766852865
NRM728038,normal,74,1112,low,Asia Pacific,Restaurant,19,2051.6081814806143
NRM439902,normal,51,1285,low,North America,Individual,5,1270.0080142646814
NRM612340,normal,24,1530,low,North America,Restaurant,22,1244.6779801445587
NRM120422,normal,46,796,low,North America,Consulting,13,636.3912335276642
NRM217301,normal,45,1328,low,North America,Consulting,9,538.1139113300717
NRM480612,normal,27,1171,low,Latin America,Consulting,15,4528.247439158826
NRM972064,normal,55,3589,low,Asia Pacific,Individual,12,4719.385693262116
NRM945964,normal,74,1754,low,North America,Individual,13,1013.5474845068471
NRM422451,normal,24,2276,low,Europe,Individual,19,1159.9877128791122
NRM351083,normal,30,3535,low,Europe,Individual,14,2624.7148291421568
NRM160738,normal,39,2474,low,Africa,Restaurant,7,1199.7588019996372
NRM352572,normal,68,3525,low,Europe,Individual,6,2341.4172790911657
NRM694916,normal,24,3047,low,North America,Restaurant,29,4275.748313400338
NRM182582,normal,63,885,low,North America,Consulting,15,526.2351235659097
NRM189814,normal,45,3560,low,Europe,Individual,9,339.03955019854817
NRM867460,normal,39,818,low,Africa,Individual,9,4958.2291422107355
NRM609597,normal,71,3476,low,Latin America,Individual,23,4140.936733033232
NRM955662,normal,61,2254,low,Europe,Restaurant,5,4405.286933140274
NRM172574,normal,40,2748,low,Asia Pacific,Restaurant,20,3570.9785859036706
NRM897549,normal,64,2969,low,Asia Pacific,Retail,10,1027.1855449465288
NRM658582,normal,26,921,low,Latin America,Individual,27,125.21133669810236
NRM903035,normal,53,2775,low,North America,Consulting,22,4108.038418183405
NRM231869,normal,35,953,low,Europe,Individual,17,3122.9419000411367
NRM234628,normal,70,1621,low,Asia Pacific,Individual,28,4111.529160449225
NRM791798,normal,69,1714,low,North America,Individual,13,4818.660818909074
NRM598369,normal,49,936,low,North America,Retail,26,4692.41958745861
NRM676510,normal,53,848,low,North America,Individual,21,3877.823033407464
NRM273148,normal,38,1250,low,North America,Retail,22,4370.530350146644
NRM377932,normal,68,649,low,Europe,Retail,24,3815.4896600522106
NRM653306,normal,28,393,low,North America,Individual,19,4112.049652449759
NRM736059,normal,32,934,low,North America,Individual,6,4985.910050772784
NRM543692,normal,38,3535,low,Europe,Individual,27,4147.011752419494
NRM322086,normal,32,3296,low,Latin America,Retail,24,3307.1049499775627
NRM665492,normal,48,3261,low,Africa,Individual,25,4556.67010364431
NRM891952,normal,58,448,low,Europe,Individual,7,1628.5647534261393
NRM865388,normal,59,3598,low,North America,Individual,29,3603.1277969910134
NRM823378,normal,39,1659,low,Europe,Individual,18,1098.1361214537437
NRM310922,normal,50,884,low,Asia Pacific,Restaurant,24,187.52327314376492
NRM847581,normal,50,1324,low,North America,Consulting,7,1008.7484859156062
NRM426858,normal,36,3589,low,North America,Individual,16,1312.9457824565384
NRM518373,normal,30,2066,low,North America,Individual,26,2951.659869380554
NRM804314,normal,74,2798,low,Asia Pacific,Individual,17,832.9451490710723
NRM781446,normal,42,638,low,Asia Pacific,Individual,19,3040.100685784588
NRM491559,normal,53,2423,low,Asia Pacific,Restaurant,10,4548.311399624737
NRM559381,normal,32,578,low,Asia Pacific,Individual,16,4934.6467070090175
NRM642717,normal,53,956,low,Europe,Individual,5,2842.278549085879
NRM573417,normal,53,606,low,North America,Individual,5,4424.41408051604
NRM226882,normal,51,3001,low,North America,Individual,6,4889.58529294245
NRM359947,normal,47,2074,low,Asia Pacific,Restaurant,14,920.6646530694418
NRM335612,normal,70,2260,low,Asia Pacific,Retail,10,3014.405523146987
NRM167136,normal,30,2635,low,Europe,Retail,12,4742.0172668920895
NRM454508,normal,49,1472,low,North America,Restaurant,11,3338.0185796663286
NRM122056,normal,37,1264,low,Europe,Retail,7,299.6951198531166
NRM716886,normal,63,378,low,North America,Individual,27,3286.441510779924
NRM680828,normal,46,1689,low,Asia Pacific,Individual,18,1750.7893796784235
NRM341292,normal,29,2721,low,Asia Pacific,Individual,22,202.2195825285367
NRM717024,normal,40,1026,low,North America,Individual,7,499.4797988068908
NRM330914,normal,72,399,low,North America,Individual,19,1362.646153704947
NRM107540,normal,33,3274,low,Africa,Individual,28,2184.9173387955693
NRM174441,normal,25,3144,low,Europe,Consulting,28,2762.172564480113
NRM842225,normal,72,972,low,Europe,Individual,6,2484.677812981044
NRM761759,normal,23,2747,low,Middle East,Individual,14,4961.453250069295
NRM161733,normal,33,894,low,Asia Pacific,Retail,7,3902.4010144736044
NRM340062,normal,57,3164,low,Asia Pacific,Retail,18,4859.835960804034
NRM170674,normal,58,3249,low,North America,Individual,26,4366.674516235305
NRM132938,normal,68,378,low,Europe,Individual,6,566.7813889776688
NRM446479,normal,38,3303,low,North America,Individual,7,3318.0096562523318
NRM174299,normal,22,1812,low,Europe,Individual,27,2323.5687527798323
NRM639131,normal,32,3446,low,North America,Individual,14,2299.010111773875
NRM349565,normal,33,1226,low,North America,Individual,12,3124.0104343597473
NRM392004,normal,22,2725,low,North America,Individual,29,3067.136972459926
NRM801474,normal,68,2385,low,Europe,Retail,28,4047.7837494552605
NRM608993,normal,49,1755,low,Latin America,Individual,24,1421.773096433249
NRM324643,normal,23,1333,low,Europe,Consulting,5,698.3385786491314
NRM665427,normal,27,2897,low,Middle East,Individual,21,2964.8864321686847
NRM238739,normal,33,854,low,Europe,Individual,15,185.16097190885023
NRM858490,normal,46,1573,low,Europe,Individual,15,2495.348243258909
NRM698782,normal,65,1682,low,North America,Individual,17,803.357573993025
NRM704201,normal,71,3158,low,Asia Pacific,Individual,25,560.1135073681501
NRM595631,normal,29,3081,low,Europe,Restaurant,26,1351.001971169316
NRM354801,normal,22,2723,low,Africa,Individual,22,1296.321723069634
NRM922733,normal,47,667,low,Europe,Individual,12,3998.0008213123756
NRM595948,normal,25,3213,low,Asia Pacific,Consulting,18,2029.9355877053765
NRM946721,normal,26,2773,low,North America,Retail,22,3064.27422118365
NRM526833,normal,30,3597,low,Europe,Restaurant,13,543.3603069065487
NRM299659,normal,52,853,low,North America,Retail,10,1702.4624916598696
NRM198907,normal,59,383,low,Latin America,Retail,13,1654.2590121504531
NRM201639,normal,66,1719,low,Europe,Individual,11,128.2174364407957
NRM790993,normal,36,3501,low,Europe,Individual,25,1964.0565507407086
NRM551989,normal,50,1861,low,Europe,Individual,7,1213.6211735894422
NRM471507,normal,47,3279,low,North America,Retail,6,2371.1208146228046
NRM544154,normal,24,2497,low,Latin America,Individual,10,4579.758928162202
NRM531071,normal,50,1542,low,North America,Individual,20,2942.8446092139284
NRM589710,normal,65,2128,low,Asia Pacific,Retail,10,3759.6910090655315
NRM864491,normal,65,1255,low,Europe,Restaurant,15,137.0580873928964
NRM156802,normal,68,3553,low,Latin America,Individual,15,1962.365093792306
NRM806073,normal,25,1153,low,Europe,Individual,18,2480.7716200129958
NRM785197,normal,69,737,low,North America,Individual,19,2708.075045361297
NRM777568,normal,29,3580,low,North America,Retail,6,1435.8576035943154
NRM203198,normal,25,2502,low,North America,Individual,16,989.047903708572
NRM163556,normal,34,2571,low,Asia Pacific,Individual,14,1007.6193880823074
NRM522179,normal,57,1472,low,Europe,Restaurant,5,1930.1974468880992
NRM863587,normal,66,1750,low,North America,Individual,26,4114.025411191272
NRM455784,normal,43,1608,low,North America,Individual,14,956.3898698541482
NRM939482,normal,63,2996,low,Asia Pacific,Individual,9,1580.0964589904956
NRM214576,normal,45,2943,low,Latin America,Retail,29,568.123037789874
NRM360735,normal,57,3405,low,Europe,Individual,21,3710.681350226492
NRM300896,normal,55,1037,low,North America,Individual,20,1630.1317516391005
NRM299448,normal,56,1352,low,North America,Retail,13,2015.4393799370218
NRM662336,normal,46,1134,low,North America,Individual,22,2081.1619637110316
NRM570405,normal,60,2871,low,Africa,Individual,23,3055.775110045524
NRM246991,normal,59,2966,low,Middle East,Retail,8,519.7254230225096
NRM542374,normal,54,2287,low,Europe,Individual,10,1839.4818985764928
NRM292401,normal,25,2169,low,Europe,Individual,9,442.66486797622724
NRM392075,normal,53,2561,low,North America,Individual,7,2711.493154101543
NRM585100,normal,24,706,low,Asia Pacific,Consulting,6,1878.4269320453607
NRM361941,normal,56,2766,low,Europe,Individual,26,2855.254397801758
NRM179046,normal,57,2865,low,North America,Retail,29,935.3418970521959
NRM564656,normal,63,2858,low,Europe,Restaurant,16,1803.1004687710122
NRM947272,normal,33,3392,low,Europe,Individual,27,2056.6479874656097
NRM997546,normal,61,994,low,Africa,Consulting,16,1293.9179087129464
NRM677057,normal,51,513,low,North America,Individual,12,3800.825060434359
NRM202664,normal,54,1377,low,Latin America,Retail,6,409.2342620878358
NRM153045,normal,57,845,low,North America,Individual,13,529.4494591428088
NRM783823,normal,48,3173,low,Europe,Individual,24,1470.5473385102482
NRM666847,normal,47,3632,low,Latin America,Individual,26,2535.1210662385683
NRM976638,normal,43,1704,low,Latin America,Individual,19,2046.176009403134
NRM115474,normal,59,958,low,Asia Pacific,Retail,14,4353.477781526507
NRM197793,normal,27,3503,low,Asia Pacific,Individual,13,1680.3870914474344
NRM890170,normal,56,2990,low,North America,Individual,18,4880.489984213583
NRM989921,normal,31,1925,low,Europe,Individual,5,4621.5102335156325
NRM347861,normal,35,3245,low,Asia Pacific,Retail,24,2562.573774670868
NRM274389,normal,62,3314,low,North America,Individual,12,2443.346712935554
NRM526156,normal,25,901,low,North America,Individual,16,4832.528589650778
NRM609231,normal,53,456,low,North America,Individual,22,1460.9878563713796
NRM604740,normal,27,3084,low,North America,Retail,27,844.9217803303758
NRM324130,normal,72,1905,low,Asia Pacific,Individual,6,2474.547776392437
NRM520521,normal,71,1641,low,Asia Pacific,Individual,27,1271.9825106580356
NRM161483,normal,56,513,low,North America,Individual,23,971.0553004711162
NRM272634,normal,37,3176,low,Asia Pacific,Retail,12,4088.454320579492
NRM497382,normal,60,1768,low,North America,Retail,10,2187.8085810628204
NRM102260,normal,58,1962,low,Asia Pacific,Individual,26,4154.935688277685
NRM509386,normal,58,2409,low,Asia Pacific,Individual,6,755.6383077694948
NRM378085,normal,42,2658,low,Asia Pacific,Individual,27,771.8375580720954
NRM922157,normal,60,1265,low,North America,Individual,22,3183.564149452607
NRM923267,normal,74,2750,low,North America,Individual,21,637.7073735197672
NRM577110,normal,32,1067,low,Europe,Individual,25,2492.381571406713
NRM399105,normal,25,910,low,North America,Retail,12,4072.3610471327047
NRM543555,normal,50,1824,low,Latin America,Individual,14,4471.214975807148
NRM830429,normal,62,2604,low,Asia Pacific,Individual,5,4063.5289620180074
NRM865990,normal,69,2441,low,North America,Consulting,12,2361.2395766611976
NRM921414,normal,32,1123,low,Asia Pacific,Restaurant,12,1212.1270023902844
NRM682765,normal,38,3368,low,Europe,Restaurant,9,3713.4254667352793
NRM794022,normal,22,2499,low,Asia Pacific,Individual,29,3756.415561661009
NRM853305,normal,22,772,low,North America,Individual,24,3713.7909613491342
NRM610311,normal,52,730,low,Africa,Consulting,23,3340.7159942450307
NRM262316,normal,49,927,low,North America,Individual,26,3845.426044886506
NRM299122,normal,31,1938,low,North America,Individual,21,1547.6794096393594
NRM411120,normal,61,1285,low,Africa,Retail,7,694.7934489810915
NRM328275,normal,25,1978,low,North America,Consulting,27,305.5609948150177
NRM161324,normal,71,2166,low,Asia Pacific,Individual,12,658.3875101001541
NRM707314,normal,34,2081,low,Middle East,Individual,6,727.6691571943801
NRM871476,normal,36,2685,low,Middle East,Individual,29,1942.365160712426
NRM668532,normal,35,2536,low,Europe,Individual,24,1279.3942879792744
NRM163918,normal,42,3608,low,North America,Restaurant,28,4962.835462398404
NRM884309,normal,53,1610,low,Latin America,Restaurant,13,2765.6812379954827
NRM428838,normal,42,3434,low,Europe,Restaurant,12,2833.2848050042426
NRM159942,normal,44,2648,low,North America,Individual,26,4924.88172367009
NRM152578,normal,43,3272,low,North America,Individual,25,3657.301558927948
NRM712554,normal,48,1851,low,Europe,Restaurant,17,2125.7406015467814
NRM599948,normal,58,2089,low,Asia Pacific,Retail,26,2868.607765009179
NRM627276,normal,50,1418,low,Latin America,Retail,9,884.3510112774077
NRM994141,normal,63,3622,low,North America,Individual,9,4419.108820407605
NRM656926,normal,25,3540,low,North America,Restaurant,6,1099.7746096816045
NRM265080,normal,31,1793,low,Asia Pacific,Retail,6,1841.3843865601232
NRM159642,normal,34,1781,low,Europe,Individual,26,4180.134299800511
NRM632496,normal,35,1402,low,Asia Pacific,Retail,24,1701.9649200565875
NRM184002,normal,72,1379,low,Europe,Individual,8,1988.3418269320728
NRM992697,normal,25,1408,low,Asia Pacific,Individual,9,3348.905822052412
NRM294851,normal,61,1235,low,North America,Retail,8,988.4644716349757
