tx_id,timestamp,sender_id,receiver_id,amount,tx_type,country,channel,pattern_type
TX2T3FLWL91Q,2024-01-01 08:12:28,NRM520521,NRM240814,527.52,ACH,Canada,ATM,normal
TX4GMJLBRNOU,2024-01-01 08:22:41,NRM415568,NRM830429,49783.27,wire,Germany,online,layering
TX4X5G5B09OA,2024-01-01 08:25:44,NRM640490,NRM809570,1447.66,ACH,India,branch,normal
TXBC1ZRU9F6P,2024-01-01 08:39:17,NRM233470,NRM361941,3160.59,wire,USA,online,normal
TX451YUZKOTO,2024-01-01 08:40:57,NRM417212,NRM671412,226.64,crypto,Mexico,online,normal
TXCYAQ880OPL,2024-01-01 08:49:42,NRM361941,NRM725550,1857.19,e-transfer,Mexico,branch,normal
TXFU7S7S3T6L,2024-01-01 09:12:35,NRM557239,NRM634277,1122.68,wire,Australia,mobile,normal
TX24OJVA3R25,2024-01-01 09:39:24,HRK120480,NRM491559,874.58,crypto,UK,mobile,normal
TXE1KD1HZFD1,2024-01-01 09:52:43,NRM480612,NRM217308,82703.45,wire,UK,online,layering
TXW8PF62YJLQ,2024-01-01 09:55:31,RNG824023,RNG824024,148810.89,ACH,Cayman Islands,online,fraud_ring
TX4GBWHAA6U7,2024-01-01 10:52:43,NRM217308,NRM498382,81049.38,wire,Nigeria,online,layering
TX8JQTBOFA20,2024-01-01 11:07:19,HRK887443,HRK176365,221.87,check,Mexico,mobile,normal
TXA36FMTKCHA,2024-01-01 11:13:44,NRM367095,NRM662262,650.88,wire,Canada,mobile,normal
TX9Q2N8U8NL1,2024-01-01 11:22:41,NRM830429,NRM440035,48787.6,wire,Singapore,online,layering
TXRZCMHM5DQ8,2024-01-01 12:08:05,NRM351083,HRK666390,424.41,cash,UAE,online,normal
TXFINASJ6D9E,2024-01-01 12:40:39,NRM946721,MUL359295,18658.8,e-transfer,India,online,mule_in
TXVH1YGLVXF5,2024-01-01 12:50:46,NRM466643,HRK564071,2107.62,cash,Brazil,ATM,normal
TXBI8NBB2GFW,2024-01-01 13:53:47,NRM724834,MUL959099,940.61,wire,Brazil,branch,normal
TX332GI14Z9P,2024-01-01 14:06:13,NRM503906,NRM346277,180.33,ACH,USA,mobile,normal
TXLIXN6SN8BK,2024-01-01 15:25:05,RNG824014,RNG824015,105359.81,wire,Canada,online,fraud_ring
TXVQWL2LUBBZ,2024-01-01 15:34:16,HRK870319,NRM804314,52056.68,wire,UK,online,layering
TXVHTZ4VOYBJ,2024-01-01 15:45:18,HRK664365,NRM120422,437.08,cash,Mexico,online,normal
TXD8Q3E9KD5C,2024-01-01 15:58:55,NRM654816,NRM456699,3995.62,e-transfer,Japan,mobile,normal
TXP4JWR3XUXN,2024-01-01 16:06:33,HRK598216,NRM201639,3985.49,ACH,UK,mobile,normal
TXBULO1141AF,2024-01-01 16:36:06,NRM550664,RNG824042,351.58,e-transfer,USA,online,normal
TX6CWOVGFWYU,2024-01-01 17:16:34,RNG824008,RNG824009,53334.2,ACH,Cayman Islands,online,fraud_ring
TXF9EXNXYYZB,2024-01-01 17:23:56,NRM790855,NRM414569,73.71,e-transfer,USA,branch,normal
TX87MVZ01SOS,2024-01-01 17:31:43,NRM589710,NRM201414,419.51,cash,Germany,mobile,normal
TXBUWLSC6CZA,2024-01-01 17:34:16,NRM831076,MUL736745,49974.41,wire,Brazil,online,layering
TXBGCXVQ8WPC,2024-01-01 17:40:40,NRM774079,NRM262060,767.41,e-transfer,USA,mobile,normal
TXCJPPXDI46F,2024-01-01 17:45:26,NRM325772,RNG824047,1312.12,e-transfer,Germany,branch,normal
TXQKQV4VCTUH,2024-01-01 18:22:41,NRM440035,NRM431737,47791.94,wire,Brazil,online,layering
TX736I5NFMP3,2024-01-01 19:51:20,NRM975136,MUL372793,3812.81,e-transfer,UAE,online,mule_in
TXFOTDJGF5FU,2024-01-01 20:20:30,NRM932291,MUL497542,8412.22,wire,UAE,online,mule_in
TXY49KB3R3TV,2024-01-01 20:22:41,NRM431737,NRM704201,46796.27,wire,Panama,online,layering
TX9DU5KLGEJ5,2024-01-01 20:34:16,NRM804314,NRM831076,51015.55,wire,Australia,online,layering
TXH0QBVRPAGT,2024-01-01 21:11:21,HRK829716,NRM877572,786.06,check,Germany,online,normal
TX6VYN0LJ6P1,2024-01-01 21:16:26,RNG824047,RNG824048,61487.91,wire,UK,online,fraud_ring
TX6MJ9N6EQV5,2024-01-01 21:21:08,NRM301629,NRM711878,11893.19,e-transfer,USA,branch,normal
TXGJS2UE57A5,2024-01-01 21:46:41,NRM617488,NRM741390,1451.33,e-transfer,UK,branch,normal
TXBPGVV4ZWL3,2024-01-01 21:55:43,HRK915451,NRM233470,698.26,e-transfer,Japan,branch,normal
TXMDZDDQ81GW,2024-01-01 22:09:02,NRM678856,HRK600149,1630.06,wire,Germany,mobile,normal
TXUE2MHOPQH5,2024-01-01 22:38:38,NRM581741,NRM575435,3867.36,ACH,Mexico,mobile,normal
TXZ7MX7LUNEY,2024-01-01 22:57:47,RNG824017,RNG824018,106267.28,wire,USA,online,fraud_ring
TXGNPUXKHI8Q,2024-01-02 00:09:03,RNG824014,RNG824015,135165.87,wire,Canada,online,fraud_ring
TX7MK5HW18JK,2024-01-02 00:22:09,HRK324345,RNG824027,877.11,cash,UK,mobile,normal
TXP0NP6OVYFA,2024-01-02 00:24:41,HRK643118,MUL142213,1566.97,e-transfer,UK,branch,normal
TX9JUJQHH6BK,2024-01-02 01:01:59,NRM166613,NRM340174,111.81,ACH,Switzerland,ATM,normal
TX5W4IPK1QP3,2024-01-02 01:20:30,MUL497542,RNG824017,7615.62,wire,Panama,online,mule_out
TX9DVOJEQWKX,2024-01-02 01:22:54,NRM414910,NRM115474,2365.78,ACH,UAE,online,normal
TXYS5RHC79QY,2024-01-02 01:34:24,NRM487151,NRM923927,72443.95,check,UAE,mobile,normal
TXJ8XEL1KL4G,2024-01-02 01:40:39,MUL359295,NRM913694,15892.09,wire,Nigeria,online,mule_out
TXCL8JB2MGMC,2024-01-02 02:38:08,NRM922733,NRM299448,670.38,wire,Canada,online,normal
TXDY8IHI5O6Q,2024-01-02 03:44:00,NRM277934,NRM584714,1791.99,ACH,USA,online,normal
TXWAEHXIZIYZ,2024-01-02 04:27:40,NRM852470,MUL443254,1428.31,wire,South Africa,third-party,normal
TXIG3NHRCOSK,2024-01-02 04:46:21,NRM877991,HRK350867,2925.26,wire,Brazil,online,normal
TXPJ83UBZ5QJ,2024-01-02 04:54:50,HRK740967,HRK732556,159785.88,wire,Australia,online,layering
TX716WLR1G1G,2024-01-02 05:29:41,NRM895667,HRK609232,1340.55,e-transfer,India,ATM,normal
TXEO10VG1UK8,2024-01-02 05:32:21,RNG824045,RNG824046,59450.05,ACH,USA,online,fraud_ring
TXIXMECTTNWY,2024-01-02 06:06:45,NRM132938,NRM230889,1836.36,e-transfer,UAE,online,normal
TXOF56G2PB0O,2024-01-02 06:08:46,HRK879779,NRM723939,1147.62,cash,Germany,online,normal
TXBVZB0OIH5C,2024-01-02 06:10:59,NRM501124,NRM738720,1073.3,e-transfer,Canada,branch,normal
TXQ9APIKSDX5,2024-01-02 06:23:26,NRM520651,HRK888295,327.29,crypto,South Africa,ATM,normal
TX8IK1NC1Y5J,2024-01-02 06:28:33,NRM950132,HRK830180,9914.19,ACH,Germany,branch,normal
TXT5O3SB3WVG,2024-01-02 07:13:10,RNG824017,RNG824018,143217.76,ACH,Canada,online,fraud_ring
TXFDRXJDD7O4,2024-01-02 07:17:48,NRM152578,NRM820892,201.44,e-transfer,UK,online,normal
TX9EXLZLW2SX,2024-01-02 07:28:01,MUL587623,MUL691807,15612.35,wire,UAE,online,mule_in
TXT5HKOJJ9VY,2024-01-02 07:34:37,NRM319684,NRM392136,66.46,wire,UK,branch,normal
TX58OQESUX9L,2024-01-02 07:34:53,HRK666390,NRM815198,22.99,cash,China,ATM,normal
TXQHYCVPNX4Y,2024-01-02 07:42:17,NRM266931,MUL665621,292.53,wire,Canada,ATM,normal
TXCNM6KPJ30N,2024-01-02 07:54:50,HRK732556,NRM946305,156590.16,wire,Mexico,online,layering
TXTJVWXUB4DS,2024-01-02 08:41:33,HRK507746,NRM349565,307.38,ACH,Brazil,branch,normal
TXESAGKAVRC6,2024-01-02 09:20:24,NRM172792,NRM654816,3196.89,cash,USA,online,normal
TXC5EAARDQV9,2024-01-02 09:35:03,HRK350867,NRM521947,13883.22,wire,Germany,ATM,normal
TXJK3UTPWZ7C,2024-01-02 10:38:08,NRM688153,MUL120324,9923.58,wire,Singapore,online,mule_in
TXF8VXE68PQ4,2024-01-02 11:52:14,RNG824049,RNG824000,56605.85,ACH,Canada,online,fraud_ring
TXM1VULB0RHA,2024-01-02 11:54:22,RNG824020,RNG824021,82956.32,ACH,Canada,online,fraud_ring
TXTHMFEBAJFT,2024-01-02 12:06:12,RNG824049,RNG824000,40211.8,wire,USA,online,fraud_ring
TXG8CY12ECW0,2024-01-02 12:31:35,NRM950132,NRM810219,1141.2,check,UK,online,normal
TX6P7JZ098P7,2024-01-02 12:47:46,NRM820221,HRK887443,280.39,e-transfer,UK,ATM,normal
TX2N7ASEJ0WY,2024-01-02 13:12:52,NRM238890,NRM634277,1297.32,cash,France,mobile,normal
TXN2GANVNAWL,2024-01-02 13:20:16,NRM161733,NRM930555,424.82,e-transfer,UK,online,normal
TXI2JVZHOYYK,2024-01-02 13:38:28,NRM348237,HRK507746,471.93,cash,UK,mobile,normal
TXIYBSQ3VZMB,2024-01-02 13:42:14,RNG824036,NRM789305,165193.32,wire,Japan,online,layering
TXAMW0V9421A,2024-01-02 14:09:24,NRM806073,RNG824031,309.25,e-transfer,UK,online,normal
TXY9SLLMSM7D,2024-01-02 14:13:01,NRM795612,NRM392136,93.13,ACH,Mexico,third-party,normal
TXUB17ODQAX3,2024-01-02 14:29:58,NRM267414,NRM640490,964.9,check,USA,online,normal
TXM1LMT2KSXQ,2024-01-02 15:12:31,NRM379766,NRM717024,82.39,wire,Switzerland,branch,normal
TXWKJIYG59V8,2024-01-02 15:40:46,NRM377370,HRK452457,27503.82,wire,Panama,online,layering
TX3QJCF9WC41,2024-01-02 15:42:14,NRM789305,MUL515922,161889.45,wire,Panama,online,layering
TX1KEDIFCW4K,2024-01-02 15:48:57,RNG824034,RNG824035,132267.98,wire,UK,online,fraud_ring
TX4PEF83GV0K,2024-01-02 15:51:20,MUL372793,NRM795612,3590.54,wire,Nigeria,online,mule_out
TX43WM0R60KJ,2024-01-02 16:22:43,RNG824044,RNG824045,141470.47,wire,Canada,online,fraud_ring
TXOK3TM96EJ7,2024-01-02 16:34:09,NRM217301,MUL242291,5678.51,e-transfer,USA,online,mule_in
TX3P6VB23OTZ,2024-01-02 16:39:17,NRM711878,NRM358175,3360.17,cash,UK,online,normal
TX6LMQ3BSOML,2024-01-02 16:40:46,HRK452457,NRM802729,26953.74,wire,China,online,layering
TX3RWQMMU7JA,2024-01-02 17:00:56,NRM692683,NRM751332,1053.92,cash,UK,online,normal
TX64BNV36543,2024-01-02 18:27:13,NRM997546,NRM579434,1536.27,e-transfer,UAE,mobile,normal
TXS9LBTC2F4S,2024-01-02 19:28:01,MUL691807,NRM885884,13642.51,wire,Russia,online,mule_out
TXS7FR390FU6,2024-01-02 20:08:04,NRM799287,HRK829716,1618.21,crypto,UAE,branch,normal
TXUPB22O1TFX,2024-01-02 20:26:38,NRM548462,NRM270395,1381.02,check,Nigeria,mobile,normal
TX9RGXBCSQFI,2024-01-02 20:47:38,NRM903035,NRM898975,1271.02,ACH,China,ATM,normal
TXET5RUVAX6C,2024-01-02 21:05:44,NRM515011,MUL885408,12303.43,wire,South Africa,online,mule_in
TXZKDU6FOTWF,2024-01-02 23:05:38,NRM201639,NRM717889,343.02,e-transfer,Brazil,online,normal
TX4WUGSFP7AI,2024-01-02 23:15:13,RNG824018,RNG824019,121299.09,ACH,UK,online,fraud_ring
TXLRJGY7L4MF,2024-01-02 23:42:14,MUL515922,HRK684482,158585.59,wire,Japan,online,layering
TXXKMANBK3ZM,2024-01-02 23:49:35,HRK938722,RNG824007,614.83,check,UK,ATM,normal
TXBX9524SMGP,2024-01-03 02:38:13,NRM872246,NRM814825,13568.67,check,Australia,third-party,normal
TX15QAXOBOYK,2024-01-03 03:33:17,RNG824046,RNG824047,113113.81,wire,USA,online,fraud_ring
TXTYJGCRMIGH,2024-01-03 03:37:25,HRK840734,NRM738720,321.72,check,Japan,mobile,normal
TXMNWKCUT54E,2024-01-03 03:57:55,NRM688153,NRM795613,3713.76,wire,USA,branch,normal
TX3RRYNBF31X,2024-01-03 04:38:08,MUL120324,NRM563246,8585.58,wire,Russia,online,mule_out
TX50AAHFRQMM,2024-01-03 04:42:59,NRM412942,NRM329258,91082.67,wire,UAE,online,layering
TXCA42VEU158,2024-01-03 04:43:56,HRK668969,NRM604740,251.59,wire,Canada,online,normal
TX2Q4RACGI06,2024-01-03 04:46:35,HRK128276,NRM378517,169749.23,wire,Russia,online,layering
TXEJUAE0KA3W,2024-01-03 04:49:58,RNG824015,RNG824016,69359.77,wire,Cayman Islands,online,fraud_ring
TXPEZ0AT3Z4M,2024-01-03 05:10:09,RNG824014,RNG824015,147944.0,wire,UK,online,fraud_ring
TXPFU1NSET63,2024-01-03 05:27:42,NRM982554,HRK590094,338.63,ACH,France,ATM,normal
TXULOB777IH0,2024-01-03 05:55:12,HRK361303,NRM804314,867.18,cash,UAE,mobile,normal
TXKMGQAW4TEQ,2024-01-03 06:32:37,NRM884309,HRK672661,349.19,wire,Germany,online,normal
TX8PHK5PNMTV,2024-01-03 06:33:35,RNG824038,RNG824039,116168.97,wire,USA,online,fraud_ring
TXPNSFKOA8U0,2024-01-03 08:42:59,NRM329258,NRM128941,89261.02,wire,South Africa,online,layering
TXUPTLZ1DMNE,2024-01-03 08:49:26,NRM487151,MUL486814,740.34,cash,Nigeria,branch,normal
TXGNN2A3PQRK,2024-01-03 09:17:13,RNG824016,RNG824017,106268.93,ACH,USA,online,fraud_ring
TX1E4VSGB98X,2024-01-03 09:46:35,NRM378517,NRM550770,166354.25,wire,USA,online,layering
TXROV6ZJ02K6,2024-01-03 09:58:14,NRM107540,NRM945687,425.15,crypto,Canada,online,normal
TXKTP5THR6QV,2024-01-03 10:16:45,NRM267753,MUL888539,3650.16,e-transfer,Brazil,online,mule_in
TXUKYQGSQFA0,2024-01-03 10:46:35,NRM550770,NRM817870,162959.26,wire,Australia,online,layering
TXCFSSW96CGO,2024-01-03 10:53:01,NRM302511,NRM920391,6697.22,ACH,USA,mobile,normal
TX969EC0F3EW,2024-01-03 12:47:27,NRM203198,NRM173372,5757.93,ACH,Canada,third-party,normal
TXYKFV6J9HUC,2024-01-03 13:34:09,MUL242291,MUL213349,4975.48,wire,Nigeria,online,mule_out
TXLHOVU5WP8M,2024-01-03 13:38:09,HRK902784,NRM183667,283.09,wire,Switzerland,branch,normal
TXWU1RG1L1V6,2024-01-03 13:47:59,NRM599948,NRM712024,396.41,wire,Canada,mobile,normal
TX3Y22CS9NXO,2024-01-03 13:57:27,NRM140605,NRM813328,80.44,e-transfer,USA,mobile,normal
TXVH0AMXA6S0,2024-01-03 14:12:21,NRM694731,NRM363319,452.76,e-transfer,USA,online,normal
TXZFCHRZJMXU,2024-01-03 14:20:04,NRM671858,HRK656932,56037.92,wire,UK,online,layering
TX9RABPKQIUR,2024-01-03 16:09:20,NRM550664,NRM191161,1795.8,check,South Africa,ATM,normal
TXNZ3B2IDS3D,2024-01-03 17:06:14,NRM710805,NRM377746,535.09,ACH,Germany,branch,normal
TX46NOUHFJ7U,2024-01-03 17:11:09,NRM599948,NRM662275,518.97,e-transfer,Brazil,ATM,normal
TXIXQB73DWBA,2024-01-03 17:48:35,NRM540869,MUL321941,5245.23,wire,Panama,online,mule_in
TXEDF43390F8,2024-01-03 17:56:28,NRM878480,NRM539589,560.57,wire,USA,third-party,normal
TXCX19M69V4D,2024-01-03 18:20:04,HRK656932,NRM745414,54917.16,wire,UAE,online,layering
TXAKUGS4R44N,2024-01-03 19:09:20,NRM996865,NRM654816,98491.62,wire,South Africa,online,layering
TXZSNREV3FQG,2024-01-03 19:21:34,RNG824033,RNG824034,38763.63,ACH,UK,online,fraud_ring
TX5P6RVWTKK7,2024-01-03 19:38:58,RNG824003,RNG824004,85841.51,wire,Cayman Islands,online,fraud_ring
TXOKTSF8T8R0,2024-01-03 19:43:21,NRM410016,NRM982554,191.37,e-transfer,Canada,branch,normal
TXVS5G65Q8LK,2024-01-03 19:46:17,RNG824023,RNG824024,41393.42,wire,USA,online,fraud_ring
TXN8U3JE6M1S,2024-01-03 19:55:28,NRM159942,NRM233636,572.41,wire,Germany,online,normal
TXGFUAISVK9T,2024-01-03 20:05:44,MUL885408,NRM930555,11484.04,crypto,Russia,online,mule_out
TXHV7PROT9V8,2024-01-03 20:24:46,NRM921414,NRM865990,304.71,e-transfer,Germany,online,normal
TXE8E1EPE5QD,2024-01-03 20:48:35,MUL321941,NRM617488,4774.31,wire,Nigeria,online,mule_out
TXA8J7IU9BZC,2024-01-03 21:01:21,NRM761759,MUL359295,7394.86,wire,Canada,online,mule_in
TXHL2YQNPN3V,2024-01-03 21:52:41,NRM712024,NRM680097,652.89,check,UK,online,normal
TXBLBQK2PDDH,2024-01-03 21:54:15,NRM804314,NRM277934,9302.85,e-transfer,USA,online,normal
TX431H9DMW8N,2024-01-03 22:09:20,NRM654816,NRM526117,96521.79,wire,France,online,layering
TXYXOA7M81C0,2024-01-03 22:14:27,NRM751332,MUL259784,8015.07,e-transfer,UK,online,mule_in
TXGT76I3HZCD,2024-01-03 22:32:02,NRM555673,NRM340174,17653.51,crypto,UK,branch,normal
TXBOV0JR9OKA,2024-01-03 22:43:30,HRK752483,MUL781725,959.81,e-transfer,UK,ATM,normal
TXGBLQK6GKJF,2024-01-03 22:52:48,NRM471507,MUL242291,64.85,wire,UK,online,normal
TXLAF8YFTM6C,2024-01-03 23:19:11,HRK760356,HRK386193,95.02,e-transfer,Cayman Islands,mobile,normal
TXKVUI45F3GL,2024-01-03 23:46:01,RNG824018,RNG824019,73189.79,wire,USA,online,fraud_ring
TXI2XOG4C8J6,2024-01-04 00:34:16,NRM126225,NRM987204,880.36,e-transfer,Germany,ATM,normal
TXGKJE3WITF9,2024-01-04 01:19:14,HRK907451,NRM694731,914.21,wire,UK,mobile,normal
TXARIBELNAQH,2024-01-04 03:38:06,NRM855731,HRK561239,425.13,ACH,Australia,online,normal
TXHAR63U8Q3Q,2024-01-04 03:39:38,NRM831076,NRM539898,1579.52,check,USA,branch,normal
TX5RVLNWQJI0,2024-01-04 03:40:26,NRM146542,MUL783414,3750.47,wire,China,online,mule_in
TXG558KL9491,2024-01-04 03:40:33,RNG824027,RNG824028,58845.65,ACH,Canada,online,fraud_ring
TX8KZCZ22FAD,2024-01-04 03:42:12,HRK390782,NRM519093,224.47,wire,Singapore,branch,normal
TXTRBUXVQWO6,2024-01-04 04:17:59,HRK316881,NRM346277,191.25,e-transfer,Brazil,ATM,normal
TXQO8NCS0XZC,2024-01-04 04:35:00,NRM639131,NRM403445,5599.96,wire,Germany,ATM,normal
TXB4M0A6MDMM,2024-01-04 04:55:18,NRM167136,NRM680099,2529.32,wire,USA,online,normal
TXZUEOF5J6WV,2024-01-04 05:00:39,NRM741390,NRM225710,83435.67,wire,France,online,layering
TXKN2K7IT7XX,2024-01-04 05:27:02,NRM306606,NRM783823,171.8,ACH,UK,online,normal
TXFAPG0JG3YT,2024-01-04 05:57:30,NRM103717,NRM539898,38.66,wire,Canada,mobile,normal
TXHZLQEIRO08,2024-01-04 06:11:40,NRM712554,NRM733052,291.8,wire,China,branch,normal
TXC1EL598WHW,2024-01-04 06:16:45,MUL888539,NRM636265,3533.86,wire,Panama,online,mule_out
TXLKOPLQYQZU,2024-01-04 06:35:33,STR143064,NRM872246,52247.72,wire,Canada,online,layering
TXF4JVOWTW0T,2024-01-04 07:01:13,NRM212235,NRM518801,993.52,ACH,USA,online,normal
TXBTCDEDE6JL,2024-01-04 07:10:09,NRM182627,HRK740967,4893.11,wire,Germany,ATM,normal
TXPSDCKMPUXR,2024-01-04 07:14:15,NRM662262,MUL781725,16627.44,wire,Australia,online,mule_in
TXZQ9Q7OARVD,2024-01-04 07:35:33,NRM872246,NRM680097,51202.77,wire,Switzerland,online,layering
TX0YMH4MXC0L,2024-01-04 08:27:08,NRM471507,NRM690341,478.58,e-transfer,UAE,online,normal
TXL940VGB4BN,2024-01-04 08:38:20,RNG824029,RNG824030,94614.54,wire,Canada,online,fraud_ring
TXDD0HTJH7ZO,2024-01-04 08:55:48,HRK227253,NRM340174,48.94,cash,Brazil,mobile,normal
TXOOJWZDUZJ5,2024-01-04 09:31:10,RNG824035,RNG824036,59320.32,ACH,UK,online,fraud_ring
TX6F2KB2E8CN,2024-01-04 10:00:39,NRM225710,HRK915451,81766.96,wire,China,online,layering
TX617VXR4FK0,2024-01-04 10:35:33,NRM680097,STR416232,50157.81,wire,UK,online,layering
TXZ17PFIOBP8,2024-01-04 11:00:39,HRK915451,NRM609597,80098.24,wire,Mexico,online,layering
TXGEUE8VDZLK,2024-01-04 12:35:12,NRM974244,NRM377932,183.65,e-transfer,India,ATM,normal
TX6C3XCVMW9J,2024-01-04 12:59:33,NRM519093,HRK184491,68.5,check,Germany,mobile,normal
TX6E2YE38D1N,2024-01-04 13:35:43,HRK829308,MUL188025,189.3,check,USA,mobile,normal
TXXI18T1500E,2024-01-04 13:37:10,NRM804314,NRM864491,2918.64,e-transfer,Germany,ATM,normal
TX6VM3BY4II7,2024-01-04 14:08:02,NRM969634,NRM498591,502.66,e-transfer,Mexico,online,normal
TXWP8CSKMR1A,2024-01-04 14:56:43,NRM854639,NRM629903,380.57,cash,UK,third-party,normal
TXO9I8P0LW38,2024-01-04 15:15:11,NRM994343,MUL979995,931.9,wire,Panama,branch,normal
TXHW4JQZ1PH4,2024-01-04 16:22:11,NRM723398,NRM753425,635.26,e-transfer,Cayman Islands,mobile,normal
TXSAYYXM4IV5,2024-01-04 16:22:31,NRM850800,NRM379786,334.32,cash,USA,mobile,normal
TXGZW4RDR8FT,2024-01-04 16:33:25,HRK883826,NRM420015,1245.46,check,UK,branch,normal
TXZFCCFWZH5N,2024-01-04 17:16:04,NRM707040,NRM124813,16160.86,e-transfer,Mexico,online,normal
TXP93NYH90EN,2024-01-04 17:24:20,NRM153045,HRK502630,161.02,e-transfer,South Africa,ATM,normal
TX303RV0VQQE,2024-01-04 17:33:09,NRM557239,RNG824049,63.98,wire,UK,online,normal
TXNH0ZO9N5GY,2024-01-04 18:14:27,MUL259784,HRK646622,7397.27,wire,Nigeria,online,mule_out
TXP7S2XUVF5H,2024-01-04 18:23:33,NRM323508,NRM941204,944.79,wire,Germany,mobile,normal
TX0NQ9CPU8PC,2024-01-04 18:40:26,MUL783414,HRK181247,3390.6,crypto,Cayman Islands,online,mule_out
TXFJDO0I5NR2,2024-01-04 19:01:21,MUL359295,HRK227253,7189.24,wire,Russia,online,mule_out
TXJMDECDDKSW,2024-01-04 19:32:23,NRM738720,NRM551989,2379.65,e-transfer,Cayman Islands,online,normal
TXZSRMML84SV,2024-01-04 19:33:18,RNG824000,RNG824001,86634.91,wire,UK,online,fraud_ring
TXS57YTFFCA9,2024-01-04 19:34:49,NRM237174,NRM736130,1165.9,wire,Germany,online,normal
TXGDAF5J5G5Y,2024-01-04 19:37:14,RNG824018,STR757711,9845.07,cash,USA,ATM,structuring
TXTU0D7FSG0U,2024-01-04 19:42:14,NRM174299,STR757711,9350.91,cash,USA,ATM,structuring
TXWOG7THXUG0,2024-01-04 19:42:14,NRM795613,STR757711,9365.51,cash,USA,branch,structuring
TXMPDFI0F2CG,2024-01-04 19:42:14,NRM455784,STR757711,8779.06,cash,USA,ATM,structuring
TX19QM292ZFP,2024-01-04 19:44:14,NRM520521,STR757711,9652.68,cash,USA,ATM,structuring
TXDEAH7YSB9Z,2024-01-04 19:46:14,NRM531071,STR757711,8782.3,cash,USA,ATM,structuring
TX6SUMITC37D,2024-01-04 19:48:14,HRK245095,STR757711,9214.44,cash,USA,ATM,structuring
TX36IVW5HX2S,2024-01-04 19:50:14,HRK907451,STR757711,9638.11,cash,USA,ATM,structuring
TX7NUSNPBNGQ,2024-01-04 19:52:14,NRM246413,STR757711,9214.15,cash,USA,ATM,structuring
